nationality,Continent
France,West Europe
Belgium,West Europe
Norway,West Europe
Germany,West Europe
England,West Europe
Slovenia,West Europe
Portugal,West Europe
Italy,West Europe
Netherlands,West Europe
Spain,West Europe
Switzerland,West Europe
Slovakia,West Europe
Scotland,West Europe
Austria,West Europe
Hungary,West Europe
Denmark,West Europe
Ireland,West Europe
Wales,West Europe
Northern Ireland,West Europe
Luxembourg,West Europe
Republic of Ireland,West Europe
Greece,West Europe
Poland,East Europe
Croatia,East Europe
Serbia,East Europe
Bosnia and Herzegovina,East Europe
Czech Republic,East Europe
Sweden,East Europe
Ukraine,East Europe
Russia,East Europe
Romania,East Europe
Albania,East Europe
Malta,East Europe
Iceland,East Europe
Bulgaria,East Europe
Moldova,East Europe
Estonia,East Europe
Latvia,East Europe
Lithuania,East Europe
Armenia,East Europe
Finland,East Europe
Georgia,East Europe
Turkey,East Europe
Australia,Asia
Israel,Asia
Korea Republic,Asia
Saudi Arabia,Asia
Philippines,Asia
Iran,Asia
Japan,Asia
Central African Republic,Asia
China PR,Asia
Uzbekistan,Asia
United Arab Emirates,Asia
New Zealand,Asia
Palestine,Asia
Chinese Taipei,Asia
Korea DPR,Asia
Vietnam,Asia
Kazakhstan,Asia
Tajikistan,Asia
Lebanon,Asia
Thailand,Asia
Vanuatu,Asia
IndonesiaJordan,Asia
Iraq,Asia
Azerbaijan,Asia
Fiji,Asia
Hong Kong,Asia
Syria,Asia
India,Asia
Afghanistan,Asia
Egypt,Africa
Gambia,Africa
Angola,Africa
Senegal,Africa
Costa Rica,Africa
Uruguay,Africa
Morocco,Africa
Algeria,Africa
Ghana,Africa
Cameroon,Africa
Gabon,Africa
Nigeria,Africa
Benin,Africa
Congo,Africa
Tanzania,Africa
Côte d'Ivoire,Africa
Mali,Africa
Congo DR,Africa
Tunisia,Africa
Togo,Africa
Mozambique,Africa
Guinea,Africa
Burkina Faso,Africa
Kenya,Africa
South Africa,Africa
Cape Verde Islands,Africa
Equatorial Guinea,Africa
Namibia,Africa
Liberia,Africa
Zambia,Africa
Libya,Africa
South Sudan,Africa
Burundi,Africa
Guinea Bissau,Africa
Comoros,Africa
Zimbabwe,Africa
Sierra Leone,Africa
Sudan,Africa
Mauritius,Africa
Mauritania,Africa
Chad,Africa
Saint Kitts and Nevis,Africa
São Tomé e Príncipe,Africa
Madagascar,Africa
Malawi,Africa
Uganda,Africa
Canada,North America
United States,North America
Mexico,North America
Puerto RicoHonduras,North America
Dominican Republic,North America
Panama,North America
Cuba,North America
Argentina,South America
Brazil,South America
Colombia,South America
Peru,South America
Chile,South America
Ecuador,South America
Venezuela,South America
Paraguay,South America
Uruguay,South America
Suriname,South America
Jamaica,South America
Bolivia,South America
Trinidad and Tobago,Others
Malta,Others
Haiti,Others
Curacao,Others
Cyprus,Others
Grenada,Others
Bermuda,Others
Liechtenstein,Others
Antigua and Barbuda,Others
Saint Lucia,Others
Guatemala,Others
El Salvador,Others
Andorra,Others
Saint Vincent and the Grenadines,Others
Gibraltar,Others
Montserrat,Others
Belarus,Others
Guyana,Others
Seychelles,Others
Faroe Islands,Others
Kosovo,Others
Montenegro,Europe
North Macedonia,Europe
Kuwait,Asia
Somalia,Others
Ethiopia,Others
Aruba,Others
Qatar,Others
Honduras,North America
Oman,Asia
Malaysia,Asia
Kyrgyzstan,Asia
Jordan,Asia
Malaysia,Asia
Indonesia,Asia
Singapore,Asia
Nepal,Asia
Guam,Asia
Bhutan,Asia
Niger,Africa
Papua New Guinea,Africa
Puerto Rico,North America
Barbados,North America